model,set,condition,verse,word,ok,single_token
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.49.15,תשכחנה,0,0
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.49.15,ואנכי,0,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.49.15,לא,0,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.49.15,אשכחך,0,0
BEREL 3.0,"lowest perplexity, BEREL",1 word,Isa.5.1,נא,1,1
BEREL 3.0,"lowest perplexity, BEREL",25%,Isa.5.1,לידידי,1,1
BEREL 3.0,"lowest perplexity, BEREL",25%,Isa.5.1,שירת,1,1
BEREL 3.0,"lowest perplexity, BEREL",25%,Isa.5.1,שמן,1,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.5.1,אשירה,1,0
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.5.1,לידידי,1,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.5.1,לכרמו,1,0
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.5.1,היה,1,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.5.1,בקרן,1,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.5.1,שמן,1,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.5.1,כרם,0,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.5.1,היה,0,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.5.1,לידידי,0,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.5.1,בקרן,0,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.5.1,בן,0,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.5.1,שמן,0,1
BEREL 3.0,"lowest perplexity, BEREL",1 word,Isa.11.4,רשע,1,1
BEREL 3.0,"lowest perplexity, BEREL",25%,Isa.11.4,ושפט,1,0
BEREL 3.0,"lowest perplexity, BEREL",25%,Isa.11.4,דלים,1,1
BEREL 3.0,"lowest perplexity, BEREL",25%,Isa.11.4,פיו,1,1
BEREL 3.0,"lowest perplexity, BEREL",25%,Isa.11.4,רשע,1,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.11.4,במישור,1,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.11.4,ארץ,1,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.11.4,והכה,1,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.11.4,ארץ,1,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.11.4,בשבט,1,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.11.4,וברוח,1,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.11.4,ימית,0,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.11.4,רשע,0,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.11.4,והכה,0,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.11.4,ארץ,0,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.11.4,בשבט,0,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.11.4,פיו,0,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.11.4,וברוח,0,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.11.4,שפתיו,0,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.11.4,ימית,0,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.11.4,רשע,0,1
BEREL 3.0,"lowest perplexity, BEREL",1 word,Isa.65.24,עוד,1,1
BEREL 3.0,"lowest perplexity, BEREL",25%,Isa.65.24,עוד,1,1
BEREL 3.0,"lowest perplexity, BEREL",25%,Isa.65.24,מדברים,1,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.65.24,טרם,1,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.65.24,ואני,0,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.65.24,אענה,1,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.65.24,ואני,0,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.65.24,אשמע,0,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.65.24,עוד,0,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.65.24,הם,0,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.65.24,מדברים,0,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.65.24,ואני,0,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.65.24,אשמע,0,1
BEREL 3.0,"lowest perplexity, BEREL",1 word,Isa.11.2,רוח,1,1
BEREL 3.0,"lowest perplexity, BEREL",25%,Isa.11.2,רוח,1,1
BEREL 3.0,"lowest perplexity, BEREL",25%,Isa.11.2,ובינה,1,1
BEREL 3.0,"lowest perplexity, BEREL",25%,Isa.11.2,עצה,1,1
BEREL 3.0,"lowest perplexity, BEREL",25%,Isa.11.2,ויראת,1,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.11.2,רוח,1,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.11.2,יהוה,1,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.11.2,רוח,1,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.11.2,ובינה,1,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.11.2,וגבורה,1,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.11.2,דעת,1,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.11.2,ויראת,1,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.11.2,רוח,0,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.11.2,עצה,0,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.11.2,וגבורה,0,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.11.2,רוח,0,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.11.2,דעת,0,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.11.2,ויראת,0,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.11.2,יהוה,0,1
BEREL 3.0,"lowest perplexity, BEREL",1 word,Isa.43.7,בשמי,1,1
BEREL 3.0,"lowest perplexity, BEREL",25%,Isa.43.7,יצרתיו,1,0
BEREL 3.0,"lowest perplexity, BEREL",25%,Isa.43.7,עשיתיו,1,0
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.43.7,כל,1,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.43.7,הנקרא,1,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.43.7,אף,1,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.43.7,עשיתיו,1,0
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.43.7,בראתיו,1,0
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.43.7,יצרתיו,0,0
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.43.7,אף,0,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.43.7,עשיתיו,0,0
BEREL 3.0,"lowest perplexity, BEREL",1 word,Isa.1.5,תוסיפו,1,1
BEREL 3.0,"lowest perplexity, BEREL",25%,Isa.1.5,עוד,1,1
BEREL 3.0,"lowest perplexity, BEREL",25%,Isa.1.5,תוסיפו,1,1
BEREL 3.0,"lowest perplexity, BEREL",25%,Isa.1.5,לבב,1,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.1.5,מה,1,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.1.5,כל,0,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.1.5,ראש,0,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.1.5,לחלי,0,0
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.1.5,וכל,0,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.1.5,לבב,0,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.1.5,כל,0,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.1.5,ראש,0,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.1.5,לחלי,0,0
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.1.5,וכל,0,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.1.5,לבב,0,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.1.5,דוי,0,1
BEREL 3.0,"lowest perplexity, BEREL",1 word,Isa.26.4,עדי,1,1
BEREL 3.0,"lowest perplexity, BEREL",25%,Isa.26.4,יהוה,1,1
BEREL 3.0,"lowest perplexity, BEREL",25%,Isa.26.4,צור,1,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.26.4,ביהוה,0,0
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.26.4,עדי,1,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.26.4,עד,1,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.26.4,יהוה,0,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.26.4,ביה,0,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.26.4,יהוה,0,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.26.4,צור,0,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.26.4,עולמים,0,1
BEREL 3.0,"lowest perplexity, BEREL",1 word,Isa.27.6,יציץ,1,0
BEREL 3.0,"lowest perplexity, BEREL",25%,Isa.27.6,הבאים,1,1
BEREL 3.0,"lowest perplexity, BEREL",25%,Isa.27.6,יעקב,1,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.27.6,יציץ,1,0
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.27.6,ישראל,1,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.27.6,ומלאו,1,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.27.6,פני,1,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.27.6,תנובה,0,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.27.6,ישראל,1,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.27.6,ומלאו,0,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.27.6,פני,0,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.27.6,תבל,0,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.27.6,תנובה,0,1
BEREL 3.0,"lowest perplexity, BEREL",1 word,Isa.63.8,ויאמר,1,1
BEREL 3.0,"lowest perplexity, BEREL",25%,Isa.63.8,המה,1,1
BEREL 3.0,"lowest perplexity, BEREL",25%,Isa.63.8,לא,1,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.63.8,אך,0,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.63.8,המה,0,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.63.8,בנים,0,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.63.8,לא,0,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.63.8,ישקרו,0,0
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.63.8,לא,1,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.63.8,ישקרו,1,0
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.63.8,ויהי,0,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.63.8,להם,0,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.63.8,למושיע,0,0
BEREL 3.0,"lowest perplexity, BEREL",1 word,Isa.13.10,חשך,1,1
BEREL 3.0,"lowest perplexity, BEREL",25%,Isa.13.10,יהלו,1,0
BEREL 3.0,"lowest perplexity, BEREL",25%,Isa.13.10,אורם,1,1
BEREL 3.0,"lowest perplexity, BEREL",25%,Isa.13.10,וירח,1,1
BEREL 3.0,"lowest perplexity, BEREL",25%,Isa.13.10,יגיה,1,0
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.13.10,כוכבי,1,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.13.10,וכסיליהם,1,0
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.13.10,אורם,1,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.13.10,חשך,1,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.13.10,וירח,1,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.13.10,לא,1,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.13.10,אורו,1,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.13.10,חשך,0,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.13.10,השמש,0,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.13.10,בצאתו,0,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.13.10,וירח,0,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.13.10,לא,0,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.13.10,יגיה,0,0
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.13.10,אורו,0,1
BEREL 3.0,"lowest perplexity, BEREL",1 word,Isa.49.3,לי,1,1
BEREL 3.0,"lowest perplexity, BEREL",25%,Isa.49.3,ויאמר,1,1
BEREL 3.0,"lowest perplexity, BEREL",25%,Isa.49.3,עבדי,1,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.49.3,ויאמר,1,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.49.3,לי,1,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.49.3,ישראל,1,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.49.3,אשר,1,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.49.3,ישראל,0,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.49.3,אשר,0,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.49.3,בך,0,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.49.3,אתפאר,0,0
BEREL 3.0,"lowest perplexity, BEREL",1 word,Isa.3.10,אמרו,1,1
BEREL 3.0,"lowest perplexity, BEREL",25%,Isa.3.10,צדיק,1,1
BEREL 3.0,"lowest perplexity, BEREL",25%,Isa.3.10,כי,1,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.3.10,אמרו,1,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.3.10,כי,1,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.3.10,טוב,1,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.3.10,מעלליהם,1,0
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.3.10,כי,0,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.3.10,פרי,0,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.3.10,מעלליהם,0,0
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.3.10,יאכלו,0,1
BEREL 3.0,"lowest perplexity, BEREL",1 word,Isa.7.21,איש,1,1
BEREL 3.0,"lowest perplexity, BEREL",25%,Isa.7.21,ביום,1,1
BEREL 3.0,"lowest perplexity, BEREL",25%,Isa.7.21,יחיה,1,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.7.21,ביום,1,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.7.21,איש,1,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.7.21,בקר,1,1
BEREL 3.0,"lowest perplexity, BEREL",50%,Isa.7.21,צאן,1,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.7.21,עגלת,0,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.7.21,בקר,0,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.7.21,ושתי,0,1
BEREL 3.0,"lowest perplexity, BEREL",50% contiguous,Isa.7.21,צאן,0,1
BEREL 3.0,"lowest perplexity, DictaBERT",1 word,Isa.40.5,יהוה,1,1
BEREL 3.0,"lowest perplexity, DictaBERT",25%,Isa.40.5,כבוד,1,1
BEREL 3.0,"lowest perplexity, DictaBERT",25%,Isa.40.5,יהוה,1,1
BEREL 3.0,"lowest perplexity, DictaBERT",25%,Isa.40.5,בשר,1,1
BEREL 3.0,"lowest perplexity, DictaBERT",50%,Isa.40.5,כבוד,1,1
BEREL 3.0,"lowest perplexity, DictaBERT",50%,Isa.40.5,יהוה,0,1
BEREL 3.0,"lowest perplexity, DictaBERT",50%,Isa.40.5,וראו,1,1
BEREL 3.0,"lowest perplexity, DictaBERT",50%,Isa.40.5,בשר,1,1
BEREL 3.0,"lowest perplexity, DictaBERT",50%,Isa.40.5,יחדו,1,1
BEREL 3.0,"lowest perplexity, DictaBERT",50%,Isa.40.5,יהוה,0,1
BEREL 3.0,"lowest perplexity, DictaBERT",50% contiguous,Isa.40.5,בשר,1,1
BEREL 3.0,"lowest perplexity, DictaBERT",50% contiguous,Isa.40.5,יחדו,1,1
BEREL 3.0,"lowest perplexity, DictaBERT",50% contiguous,Isa.40.5,כי,1,1
BEREL 3.0,"lowest perplexity, DictaBERT",50% contiguous,Isa.40.5,פי,0,1
BEREL 3.0,"lowest perplexity, DictaBERT",50% contiguous,Isa.40.5,יהוה,0,1
BEREL 3.0,"lowest perplexity, DictaBERT",50% contiguous,Isa.40.5,דבר,0,1
BEREL 3.0,"lowest perplexity, DictaBERT",1 word,Isa.60.1,יהוה,0,1
BEREL 3.0,"lowest perplexity, DictaBERT",25%,Isa.60.1,יהוה,0,1
BEREL 3.0,"lowest perplexity, DictaBERT",25%,Isa.60.1,זרח,0,1
BEREL 3.0,"lowest perplexity, DictaBERT",50%,Isa.60.1,אורי,1,1
BEREL 3.0,"lowest perplexity, DictaBERT",50%,Isa.60.1,אורך,1,1
BEREL 3.0,"lowest perplexity, DictaBERT",50%,Isa.60.1,יהוה,0,1
BEREL 3.0,"lowest perplexity, DictaBERT",50%,Isa.60.1,עליך,1,1
BEREL 3.0,"lowest perplexity, DictaBERT",50% contiguous,Isa.60.1,וכבוד,0,1
BEREL 3.0,"lowest perplexity, DictaBERT",50% contiguous,Isa.60.1,יהוה,0,1
BEREL 3.0,"lowest perplexity, DictaBERT",50% contiguous,Isa.60.1,עליך,0,1
BEREL 3.0,"lowest perplexity, DictaBERT",50% contiguous,Isa.60.1,זרח,0,1
BEREL 3.0,"lowest perplexity, DictaBERT",1 word,Isa.2.16,אניות,1,1
BEREL 3.0,"lowest perplexity, DictaBERT",25%,Isa.2.16,כל,1,1
BEREL 3.0,"lowest perplexity, DictaBERT",25%,Isa.2.16,שכיות,0,0
BEREL 3.0,"lowest perplexity, DictaBERT",50%,Isa.2.16,תרשיש,1,1
BEREL 3.0,"lowest perplexity, DictaBERT",50%,Isa.2.16,כל,1,1
BEREL 3.0,"lowest perplexity, DictaBERT",50%,Isa.2.16,שכיות,0,0
BEREL 3.0,"lowest perplexity, DictaBERT",50%,Isa.2.16,החמדה,0,1
BEREL 3.0,"lowest perplexity, DictaBERT",50% contiguous,Isa.2.16,ועל,0,1
BEREL 3.0,"lowest perplexity, DictaBERT",50% contiguous,Isa.2.16,כל,0,1
BEREL 3.0,"lowest perplexity, DictaBERT",50% contiguous,Isa.2.16,שכיות,0,0
BEREL 3.0,"lowest perplexity, DictaBERT",50% contiguous,Isa.2.16,החמדה,0,1
BEREL 3.0,"lowest perplexity, DictaBERT",1 word,Isa.7.7,אדני,1,1
BEREL 3.0,"lowest perplexity, DictaBERT",25%,Isa.7.7,לא,1,1
BEREL 3.0,"lowest perplexity, DictaBERT",25%,Isa.7.7,ולא,1,1
BEREL 3.0,"lowest perplexity, DictaBERT",50%,Isa.7.7,כה,0,1
BEREL 3.0,"lowest perplexity, DictaBERT",50%,Isa.7.7,אמר,0,1
BEREL 3.0,"lowest perplexity, DictaBERT",50%,Isa.7.7,אדני,0,1
BEREL 3.0,"lowest perplexity, DictaBERT",50%,Isa.7.7,יהוה,0,1
BEREL 3.0,"lowest perplexity, DictaBERT",50% contiguous,Isa.7.7,לא,0,1
BEREL 3.0,"lowest perplexity, DictaBERT",50% contiguous,Isa.7.7,תקום,0,1
BEREL 3.0,"lowest perplexity, DictaBERT",50% contiguous,Isa.7.7,ולא,0,1
BEREL 3.0,"lowest perplexity, DictaBERT",50% contiguous,Isa.7.7,תהיה,0,1
BEREL 3.0,"lowest perplexity, DictaBERT",1 word,Isa.45.7,כל,1,1
BEREL 3.0,"lowest perplexity, DictaBERT",25%,Isa.45.7,חשך,1,1
BEREL 3.0,"lowest perplexity, DictaBERT",25%,Isa.45.7,עשה,0,1
BEREL 3.0,"lowest perplexity, DictaBERT",25%,Isa.45.7,אלה,0,1
BEREL 3.0,"lowest perplexity, DictaBERT",50%,Isa.45.7,יוצר,1,1
BEREL 3.0,"lowest perplexity, DictaBERT",50%,Isa.45.7,שלום,1,1
BEREL 3.0,"lowest perplexity, DictaBERT",50%,Isa.45.7,ובורא,1,1
BEREL 3.0,"lowest perplexity, DictaBERT",50%,Isa.45.7,רע,1,1
BEREL 3.0,"lowest perplexity, DictaBERT",50%,Isa.45.7,אני,1,1
BEREL 3.0,"lowest perplexity, DictaBERT",50%,Isa.45.7,עשה,0,1
BEREL 3.0,"lowest perplexity, DictaBERT",50% contiguous,Isa.45.7,רע,1,1
BEREL 3.0,"lowest perplexity, DictaBERT",50% contiguous,Isa.45.7,אני,0,1
BEREL 3.0,"lowest perplexity, DictaBERT",50% contiguous,Isa.45.7,יהוה,0,1
BEREL 3.0,"lowest perplexity, DictaBERT",50% contiguous,Isa.45.7,עשה,0,1
BEREL 3.0,"lowest perplexity, DictaBERT",50% contiguous,Isa.45.7,כל,0,1
BEREL 3.0,"lowest perplexity, DictaBERT",50% contiguous,Isa.45.7,אלה,0,1
BEREL 3.0,"lowest perplexity, DictaBERT",1 word,Isa.6.3,כל,1,1
BEREL 3.0,"lowest perplexity, DictaBERT",25%,Isa.6.3,זה,1,1
BEREL 3.0,"lowest perplexity, DictaBERT",25%,Isa.6.3,ואמר,1,1
BEREL 3.0,"lowest perplexity, DictaBERT",25%,Isa.6.3,קדוש,1,1
BEREL 3.0,"lowest perplexity, DictaBERT",25%,Isa.6.3,כבודו,1,1
BEREL 3.0,"lowest perplexity, DictaBERT",50%,Isa.6.3,זה,0,1
BEREL 3.0,"lowest perplexity, DictaBERT",50%,Isa.6.3,אל,0,1
BEREL 3.0,"lowest perplexity, DictaBERT",50%,Isa.6.3,זה,0,1
BEREL 3.0,"lowest perplexity, DictaBERT",50%,Isa.6.3,קדוש,1,1
BEREL 3.0,"lowest perplexity, DictaBERT",50%,Isa.6.3,קדוש,1,1
BEREL 3.0,"lowest perplexity, DictaBERT",50%,Isa.6.3,קדוש,1,1
BEREL 3.0,"lowest perplexity, DictaBERT",50%,Isa.6.3,מלא,1,1
BEREL 3.0,"lowest perplexity, DictaBERT",50% contiguous,Isa.6.3,קדוש,1,1
BEREL 3.0,"lowest perplexity, DictaBERT",50% contiguous,Isa.6.3,יהוה,0,1
BEREL 3.0,"lowest perplexity, DictaBERT",50% contiguous,Isa.6.3,צבאות,0,1
BEREL 3.0,"lowest perplexity, DictaBERT",50% contiguous,Isa.6.3,מלא,0,1
BEREL 3.0,"lowest perplexity, DictaBERT",50% contiguous,Isa.6.3,כל,0,1
BEREL 3.0,"lowest perplexity, DictaBERT",50% contiguous,Isa.6.3,הארץ,0,1
BEREL 3.0,"lowest perplexity, DictaBERT",50% contiguous,Isa.6.3,כבודו,0,1
BEREL 3.0,"lowest perplexity, DictaBERT",1 word,Isa.38.1,חזקיהו,1,1
BEREL 3.0,"lowest perplexity, DictaBERT",25%,Isa.38.1,בימים,1,1
BEREL 3.0,"lowest perplexity, DictaBERT",25%,Isa.38.1,ישעיהו,1,1
BEREL 3.0,"lowest perplexity, DictaBERT",25%,Isa.38.1,אמוץ,1,1
BEREL 3.0,"lowest perplexity, DictaBERT",25%,Isa.38.1,ויאמר,1,1
BEREL 3.0,"lowest perplexity, DictaBERT",50%,Isa.38.1,ההם,1,1
BEREL 3.0,"lowest perplexity, DictaBERT",50%,Isa.38.1,חלה,1,1
BEREL 3.0,"lowest perplexity, DictaBERT",50%,Isa.38.1,ויבוא,0,1
BEREL 3.0,"lowest perplexity, DictaBERT",50%,Isa.38.1,אליו,1,1
BEREL 3.0,"lowest perplexity, DictaBERT",50%,Isa.38.1,ישעיהו,1,1
BEREL 3.0,"lowest perplexity, DictaBERT",50%,Isa.38.1,הנביא,1,1
BEREL 3.0,"lowest perplexity, DictaBERT",50%,Isa.38.1,כה,1,1
